GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
api-catalog,com.twa.flights.api.catalog.exception,ResourceExceptionHandler,14,3,0,0,2,1,1,1,1,1
api-catalog,com.twa.flights.api.catalog.exception,APIException,115,0,0,0,43,0,12,0,12,0
api-catalog,com.twa.flights.api.catalog.helper,AppInfoHelper,12,6,0,0,2,3,1,1,1,1
api-catalog,com.twa.flights.api.catalog.dto,ErrorDTO,21,0,0,0,8,0,4,0,4,0
api-catalog,com.twa.flights.api.catalog.dto,BaseDTO,0,17,0,0,0,7,0,5,0,5
api-catalog,com.twa.flights.api.catalog.dto,ContinentDTO,0,3,0,0,0,1,0,1,0,1
api-catalog,com.twa.flights.api.catalog.dto,CountryDTO,0,10,0,0,0,4,0,3,0,3
api-catalog,com.twa.flights.api.catalog.dto,CityDTO,0,17,0,0,0,7,0,5,0,5
api-catalog,com.twa.flights.api.catalog.configuration,MapperFacadeConfiguration,0,11,0,0,0,3,0,2,0,2
api-catalog,com.twa.flights.api.catalog.configuration,InfoEndpointConfiguration,0,31,0,0,0,5,0,3,0,3
api-catalog,com.twa.flights.api.catalog.configuration,WebConfiguration,0,75,0,4,0,17,0,6,0,4
api-catalog,com.twa.flights.api.catalog.configuration,SwaggerConfiguration,0,34,0,0,0,8,0,3,0,3
api-catalog,com.twa.flights.api.catalog.service,CityService,0,21,0,0,0,6,0,2,0,2
api-catalog,com.twa.flights.api.catalog.service,AppInfoService,12,18,0,0,2,5,1,2,1,2
api-catalog,com.twa.flights.api.catalog.controller,DocumentationController,24,7,2,0,8,2,2,2,1,2
api-catalog,com.twa.flights.api.catalog.controller,CatalogController,0,25,0,0,0,7,0,3,0,3
api-catalog,com.twa.flights.api.catalog,App,4,7,0,0,2,2,1,2,1,2
api-catalog,com.twa.flights.api.catalog.model,Base,15,9,0,0,7,3,4,3,4,3
api-catalog,com.twa.flights.api.catalog.model,City,8,9,0,0,4,3,2,3,2,3
api-catalog,com.twa.flights.api.catalog.model,Country,4,6,0,0,2,2,1,2,1,2
api-catalog,com.twa.flights.api.catalog.model,Continent,0,3,0,0,0,1,0,1,0,1
