GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
api-clusters,com.twa.flights.api.clusters.exception,ResourceExceptionHandler,29,0,0,0,4,0,3,0,3,0
api-clusters,com.twa.flights.api.clusters.exception,APIException,115,0,0,0,43,0,12,0,12,0
api-clusters,com.twa.flights.api.clusters.exception,TWAException,4,0,0,0,2,0,1,0,1,0
api-clusters,com.twa.flights.api.clusters.exception,BadRequestException,14,0,0,0,5,0,3,0,3,0
api-clusters,com.twa.flights.api.clusters.enums,ExceptionStatus,201,0,0,0,21,0,4,0,4,0
api-clusters,com.twa.flights.api.clusters.repository.impl,ClustersRepositoryImpl,103,0,2,0,24,0,7,0,6,0
api-clusters,com.twa.flights.api.clusters.connector.configuration,CatalogConnectorConfiguration,31,0,0,0,13,0,9,0,9,0
api-clusters,com.twa.flights.api.clusters.connector.configuration,ItinerariesSearchConnectorConfiguration,31,0,0,0,13,0,9,0,9,0
api-clusters,com.twa.flights.api.clusters.connector.configuration,PricingConnectorConfiguration,31,0,0,0,13,0,9,0,9,0
api-clusters,com.twa.flights.api.clusters.controller,ErrorsController,38,0,2,0,5,0,3,0,2,0
api-clusters,com.twa.flights.api.clusters.controller,DocumentationController,0,31,0,2,0,10,0,4,0,3
api-clusters,com.twa.flights.api.clusters.controller,ClustersController,31,0,0,0,9,0,3,0,3,0
api-clusters,com.twa.flights.api.clusters.dto.response,PaginationDTO,36,0,0,0,16,0,8,0,8,0
api-clusters,com.twa.flights.api.clusters.configuration.settings,RedisSettings,17,0,0,0,7,0,5,0,5,0
api-clusters,com.twa.flights.api.clusters.helper,FlightIdGeneratorHelper,105,0,4,0,15,0,4,0,2,0
api-clusters,com.twa.flights.api.clusters.connector,ItinerariesSearchConnector,162,0,0,0,23,0,6,0,6,0
api-clusters,com.twa.flights.api.clusters.connector,CatalogConnector,92,0,0,0,18,0,5,0,5,0
api-clusters,com.twa.flights.api.clusters.connector,PricingConnector,95,0,0,0,18,0,5,0,5,0
api-clusters,com.twa.flights.api.clusters.service,ClustersService,132,0,4,0,29,0,8,0,6,0
api-clusters,com.twa.flights.api.clusters.service,ItinerariesSearchService,18,0,0,0,6,0,3,0,3,0
api-clusters,com.twa.flights.api.clusters.service,CatalogService,19,0,0,0,6,0,3,0,3,0
api-clusters,com.twa.flights.api.clusters.service,PricingService,114,0,10,0,24,0,11,0,6,0
api-clusters,com.twa.flights.api.clusters.service,AppInfoService,30,0,0,0,7,0,3,0,3,0
api-clusters,com.twa.flights.api.clusters,App,8,0,0,0,3,0,2,0,2,0
api-clusters,com.twa.flights.api.clusters.dto.request,ClustersAvailabilityRequestDTO,161,0,24,0,22,0,20,0,8,0
api-clusters,com.twa.flights.api.clusters.configuration,InfoEndpointConfiguration,31,0,0,0,5,0,3,0,3,0
api-clusters,com.twa.flights.api.clusters.configuration,SwaggerConfiguration,0,34,0,0,0,8,0,3,0,3
api-clusters,com.twa.flights.api.clusters.configuration,RedisConfiguration,42,0,0,0,13,0,5,0,5,0
api-clusters,com.twa.flights.api.clusters.configuration,MapperFacadeConfiguration,0,11,0,0,0,3,0,2,0,2
api-clusters,com.twa.flights.api.clusters.configuration,WebConfiguration,75,0,4,0,17,0,6,0,4,0
api-clusters,com.twa.flights.api.clusters.serializer,JsonSerializer,56,0,2,0,19,0,4,0,3,0
api-clusters,com.twa.flights.api.clusters.serializer,ClusterSearchSerializer,11,0,0,0,3,0,3,0,3,0
api-clusters,com.twa.flights.api.clusters.dto,ContinentDTO,3,0,0,0,1,0,1,0,1,0
api-clusters,com.twa.flights.api.clusters.dto,UpdatedPaxPriceDTO,17,0,0,0,7,0,5,0,5,0
api-clusters,com.twa.flights.api.clusters.dto,CountryDTO,10,0,0,0,4,0,3,0,3,0
api-clusters,com.twa.flights.api.clusters.dto,BaseDTO,17,0,0,0,7,0,5,0,5,0
api-clusters,com.twa.flights.api.clusters.dto,CityDTO,17,0,0,0,7,0,5,0,5,0
api-clusters,com.twa.flights.api.clusters.dto,UpdatedPriceInfoDTO,31,0,0,0,13,0,9,0,9,0
api-clusters,com.twa.flights.api.clusters.dto,ClusterSearchDTO,36,0,0,0,16,0,8,0,8,0
api-clusters,com.twa.flights.api.clusters.dto,ErrorDTO,21,0,0,0,8,0,4,0,4,0
api-clusters,com.twa.flights.api.clusters.validator,AvailabilityRequestValidator,313,0,44,0,75,0,32,0,10,0
