GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
api-itineraries-search,com.twa.flights.api.itineraries.search.facade,ProviderAlphaFacade,2,18,0,0,1,6,1,3,1,3
api-itineraries-search,com.twa.flights.api.itineraries.search.facade,ProviderBetaFacade,2,18,0,0,1,6,1,3,1,3
api-itineraries-search,com.twa.flights.api.itineraries.search.configuration,InfoEndpointConfiguration,0,31,0,0,0,5,0,3,0,3
api-itineraries-search,com.twa.flights.api.itineraries.search.configuration,MapperFacadeConfiguration,0,11,0,0,0,3,0,2,0,2
api-itineraries-search,com.twa.flights.api.itineraries.search.configuration,SwaggerConfiguration,0,34,0,0,0,8,0,3,0,3
api-itineraries-search,com.twa.flights.api.itineraries.search.configuration,WebConfiguration,0,75,0,4,0,17,0,6,0,4
api-itineraries-search,com.twa.flights.api.itineraries.search.connector.configuration,ProviderBetaConnectorConfiguration,0,31,0,0,0,13,0,9,0,9
api-itineraries-search,com.twa.flights.api.itineraries.search.connector.configuration,ProviderAlphaConnectorConfiguration,0,31,0,0,0,13,0,9,0,9
api-itineraries-search,com.twa.flights.api.itineraries.search.controller,DocumentationController,24,7,2,0,8,2,2,2,1,2
api-itineraries-search,com.twa.flights.api.itineraries.search.controller,ItinerariesSearchController,0,24,0,0,0,7,0,3,0,3
api-itineraries-search,com.twa.flights.api.itineraries.search.service,AppInfoService,12,18,0,0,2,5,1,2,1,2
api-itineraries-search,com.twa.flights.api.itineraries.search.service,ItinerariesSearchService,20,87,0,2,7,25,0,8,0,7
api-itineraries-search,com.twa.flights.api.itineraries.search.exception,APIException,115,0,0,0,43,0,12,0,12,0
api-itineraries-search,com.twa.flights.api.itineraries.search.exception,TWAException,4,0,0,0,2,0,1,0,1,0
api-itineraries-search,com.twa.flights.api.itineraries.search.exception,ResourceExceptionHandler,14,3,0,0,2,1,1,1,1,1
api-itineraries-search,com.twa.flights.api.itineraries.search.helper,FlightDuplicationCheckHelper,15,55,4,4,1,13,3,5,0,4
api-itineraries-search,com.twa.flights.api.itineraries.search.helper,AppInfoHelper,12,6,0,0,2,3,1,1,1,1
api-itineraries-search,com.twa.flights.api.itineraries.search.helper,ItineraryKeyGeneratorHelper,0,139,0,4,0,26,0,7,0,5
api-itineraries-search,com.twa.flights.api.itineraries.search.dto,ErrorDTO,21,0,0,0,8,0,4,0,4,0
api-itineraries-search,com.twa.flights.api.itineraries.search,ItenerariesSearchApp,4,7,0,0,2,2,1,2,1,2
api-itineraries-search,com.twa.flights.api.itineraries.search.connector,ProviderAlphaConnector,11,151,0,0,3,20,1,5,1,5
api-itineraries-search,com.twa.flights.api.itineraries.search.connector,ProviderBetaConnector,11,151,0,0,3,20,1,5,1,5
