GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
api-pricing,com.twa.flights.api.pricing.controller,DocumentationController,0,31,0,2,0,10,0,4,0,3
api-pricing,com.twa.flights.api.pricing.controller,PricingController,24,0,0,0,7,0,3,0,3,0
api-pricing,com.twa.flights.api.pricing.model,CommercialPolicyCarrier,24,0,0,0,10,0,7,0,7,0
api-pricing,com.twa.flights.api.pricing.model,CommercialPolicy,52,0,0,0,22,0,15,0,15,0
api-pricing,com.twa.flights.api.pricing.dto,ErrorDTO,21,0,0,0,8,0,4,0,4,0
api-pricing,com.twa.flights.api.pricing.dto,UpdatedPriceInfoDTO,31,0,0,0,13,0,9,0,9,0
api-pricing,com.twa.flights.api.pricing.dto,UpdatedPaxPriceDTO,17,0,0,0,7,0,5,0,5,0
api-pricing,com.twa.flights.api.pricing.helper,AppInfoHelper,18,0,0,0,5,0,2,0,2,0
api-pricing,com.twa.flights.api.pricing.configuration,WebConfiguration,75,0,4,0,17,0,6,0,4,0
api-pricing,com.twa.flights.api.pricing.configuration,InfoEndpointConfiguration,31,0,0,0,5,0,3,0,3,0
api-pricing,com.twa.flights.api.pricing.configuration,SwaggerConfiguration,0,34,0,0,0,8,0,3,0,3
api-pricing,com.twa.flights.api.pricing.configuration,MapperFacadeConfiguration,0,11,0,0,0,3,0,2,0,2
api-pricing,com.twa.flights.api.pricing,App,8,0,0,0,3,0,2,0,2,0
api-pricing,com.twa.flights.api.pricing.specification,CommercialPolicyCarrierSpecification,117,0,0,0,23,0,5,0,5,0
api-pricing,com.twa.flights.api.pricing.exception,ResourceExceptionHandler,17,0,0,0,3,0,2,0,2,0
api-pricing,com.twa.flights.api.pricing.exception,APIException,115,0,0,0,43,0,12,0,12,0
api-pricing,com.twa.flights.api.pricing.service,AppInfoService,30,0,0,0,7,0,3,0,3,0
api-pricing,com.twa.flights.api.pricing.service,PricingService,141,0,10,0,33,0,10,0,5,0
