GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
api-provider-alpha,com.twa.flights.api.provider.alpha.exception,APIException,115,0,0,0,43,0,12,0,12,0
api-provider-alpha,com.twa.flights.api.provider.alpha.exception,ResourceExceptionHandler,29,0,0,0,4,0,3,0,3,0
api-provider-alpha,com.twa.flights.api.provider.alpha.exception,BadRequestException,14,0,0,0,5,0,3,0,3,0
api-provider-alpha,com.twa.flights.api.provider.alpha.exception,TWAException,4,0,0,0,2,0,1,0,1,0
api-provider-alpha,com.twa.flights.api.provider.alpha.enums,ExceptionStatus,177,0,0,0,19,0,4,0,4,0
api-provider-alpha,com.twa.flights.api.provider.alpha.connector,CatalogConnector,92,0,0,0,18,0,5,0,5,0
api-provider-alpha,com.twa.flights.api.provider.alpha.connector,AlphaConnector,292,0,14,0,59,0,15,0,8,0
api-provider-alpha,com.twa.flights.api.provider.alpha.service,AppInfoService,30,0,0,0,7,0,3,0,3,0
api-provider-alpha,com.twa.flights.api.provider.alpha.service,ProviderService,100,0,8,0,27,0,10,0,6,0
api-provider-alpha,com.twa.flights.api.provider.alpha.service,CatalogService,19,0,0,0,6,0,3,0,3,0
api-provider-alpha,com.twa.flights.api.provider.alpha.helper,AppInfoHelper,18,0,0,0,5,0,2,0,2,0
api-provider-alpha,com.twa.flights.api.provider.alpha.helper,FlightHelper,148,0,8,0,26,0,10,0,6,0
api-provider-alpha,com.twa.flights.api.provider.alpha.controller,DocumentationController,0,31,0,2,0,10,0,4,0,3
api-provider-alpha,com.twa.flights.api.provider.alpha.controller,ProviderController,31,0,0,0,9,0,3,0,3,0
api-provider-alpha,com.twa.flights.api.provider.alpha.controller,ErrorsController,38,0,2,0,5,0,3,0,2,0
api-provider-alpha,com.twa.flights.api.provider.alpha.validator,AvailabilityRequestValidator,267,0,34,0,63,0,26,0,9,0
api-provider-alpha,com.twa.flights.api.provider.alpha.configuration,SwaggerConfiguration,0,34,0,0,0,8,0,3,0,3
api-provider-alpha,com.twa.flights.api.provider.alpha.configuration,InfoEndpointConfiguration,31,0,0,0,5,0,3,0,3,0
api-provider-alpha,com.twa.flights.api.provider.alpha.configuration,WebConfiguration,75,0,4,0,17,0,6,0,4,0
api-provider-alpha,com.twa.flights.api.provider.alpha.configuration,MapperFacadeConfiguration,0,11,0,0,0,3,0,2,0,2
api-provider-alpha,com.twa.flights.api.provider.alpha.dto,ErrorDTO,21,0,0,0,8,0,4,0,4,0
api-provider-alpha,com.twa.flights.api.provider.alpha.dto,BaseDTO,17,0,0,0,7,0,5,0,5,0
api-provider-alpha,com.twa.flights.api.provider.alpha.dto,CityDTO,10,0,0,0,4,0,3,0,3,0
api-provider-alpha,com.twa.flights.api.provider.alpha,App,8,0,0,0,3,0,2,0,2,0
api-provider-alpha,com.twa.flights.api.provider.alpha.connector.configuration,CatalogConnectorConfiguration,31,0,0,0,13,0,9,0,9,0
