GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
api-provider-beta,com.twa.flights.api.provider.beta.connector.configuration,CatalogConnectorConfiguration,31,0,0,0,13,0,9,0,9,0
api-provider-beta,com.twa.flights.api.provider.beta,App,8,0,0,0,3,0,2,0,2,0
api-provider-beta,com.twa.flights.api.provider.beta.dto,CityDTO,10,0,0,0,4,0,3,0,3,0
api-provider-beta,com.twa.flights.api.provider.beta.dto,BaseDTO,17,0,0,0,7,0,5,0,5,0
api-provider-beta,com.twa.flights.api.provider.beta.dto,ErrorDTO,21,0,0,0,8,0,4,0,4,0
api-provider-beta,com.twa.flights.api.provider.beta.connector,BetaConnector,298,0,14,0,59,0,15,0,8,0
api-provider-beta,com.twa.flights.api.provider.beta.connector,CatalogConnector,92,0,0,0,18,0,5,0,5,0
api-provider-beta,com.twa.flights.api.provider.beta.helper,FlightHelper,148,0,8,0,26,0,10,0,6,0
api-provider-beta,com.twa.flights.api.provider.beta.helper,AppInfoHelper,18,0,0,0,5,0,2,0,2,0
api-provider-beta,com.twa.flights.api.provider.beta.service,AppInfoService,30,0,0,0,7,0,3,0,3,0
api-provider-beta,com.twa.flights.api.provider.beta.service,ProviderService,100,0,8,0,27,0,10,0,6,0
api-provider-beta,com.twa.flights.api.provider.beta.service,CatalogService,19,0,0,0,6,0,3,0,3,0
api-provider-beta,com.twa.flights.api.provider.beta.configuration,WebConfiguration,75,0,4,0,17,0,6,0,4,0
api-provider-beta,com.twa.flights.api.provider.beta.configuration,SwaggerConfiguration,0,34,0,0,0,8,0,3,0,3
api-provider-beta,com.twa.flights.api.provider.beta.configuration,InfoEndpointConfiguration,31,0,0,0,5,0,3,0,3,0
api-provider-beta,com.twa.flights.api.provider.beta.configuration,MapperFacadeConfiguration,0,11,0,0,0,3,0,2,0,2
api-provider-beta,com.twa.flights.api.provider.beta.enums,ExceptionStatus,177,0,0,0,19,0,4,0,4,0
api-provider-beta,com.twa.flights.api.provider.beta.exception,ResourceExceptionHandler,29,0,0,0,4,0,3,0,3,0
api-provider-beta,com.twa.flights.api.provider.beta.exception,APIException,115,0,0,0,43,0,12,0,12,0
api-provider-beta,com.twa.flights.api.provider.beta.exception,TWAException,4,0,0,0,2,0,1,0,1,0
api-provider-beta,com.twa.flights.api.provider.beta.exception,BadRequestException,14,0,0,0,5,0,3,0,3,0
api-provider-beta,com.twa.flights.api.provider.beta.validator,AvailabilityRequestValidator,267,0,34,0,63,0,26,0,9,0
api-provider-beta,com.twa.flights.api.provider.beta.controller,ErrorsController,38,0,2,0,5,0,3,0,2,0
api-provider-beta,com.twa.flights.api.provider.beta.controller,DocumentationController,0,31,0,2,0,10,0,4,0,3
api-provider-beta,com.twa.flights.api.provider.beta.controller,ProviderController,31,0,0,0,9,0,3,0,3,0
